"SLIC","SLIC_Name","SLIC_Type","SLIC_State","OpTyp","SORT","CAP","SPAN","STRT","Facility.x","Facility.y"
"5530","GLENCOE","CTR","MN","PKG","L",6414,328,1700,-1.05864698386474,1.25996508699011
"7770","BEAUMONT","CTR","TX","PKG","L",3247,328,1700,-1.24658704013546,1.08650847245819
"7270","SPRINGDALE-SPRINGDAL","CTR","AR","PKG","L",9500,328,1700,-1.16918748679723,1.15780631886241
"5630","ST CLOUD-ST CLOUD","CTR","MN","PKG","L",9116,328,1700,-1.04834334582437,1.2686846560347
"5600","MANKATO","CTR","MN","PKG","L",6492,328,1700,-1.06556730860472,1.25216023921893
"6470","APPLETON CITY","CTR","MO","PKG","L",4418,328,1700,-1.14256505515687,1.18055609386957
"7180","TEXARKANA (7550)","CTR","AR","PKG","L",4768,328,1700,-1.20215036544814,1.12513593799349
"7760","PORT ARTHUR","CTR","TX","PKG","L",3946,328,1700,-1.24558115146633,1.08248592347683
"7109","SHREVEPORT AIRPORT","ARPT","LA","APT","T",1139999,403,1700,-1.21320046893978,1.11122192229829
"7119","SHREVEPORT HUB","HUB","LA","HUB","N",20000,403,2200,-1.21233565486083,1.11091968207494
"6400","HIGGINSVILLE","CTR","MO","PKG","L",2167,328,1700,-1.12863968162795,1.18812324469107
"5029","DES MOINES","ARPT","IA","APT","A",1069999,150,900,-1.09650936262666,1.21657929008725
"5000","AMES","CTR","IA","PKG","L",5084,328,1700,-1.08960042327255,1.2219444811754
"5021","DES MOINES WEST","CTR","IA","PKG","P",1209999,403,400,-1.09467074419347,1.21698131331323
"6460","CHILLICOTHE","CTR","MO","PKG","L",5043,328,1700,-1.11785215567596,1.19455051037307
"5571","GUNN","CTR","MN","PKG","L",5357,328,1700,-1.02127226696984,1.28423971391613
"5599","MAPLE GROVE HUB","HUB","MN","HUB","P",101999,403,400,-1.04799808356573,1.25746733265642
"5661","INTERNTNL FALLS","CTR","MN","PKG","L",780,328,1700,-1.00235798524101,1.29978468961534
"6559","SPRINGFIELD AIRPORT","ARPT","MO","APT","P",1189999,403,400,-1.14847493901215,1.16303039073385
"5591","ALBERT LEA","CTR","MN","PKG","L",4791,328,1700,-1.06672893802549,1.23893993556025
"5502","FARIBAULT","CTR","MN","PKG","L",988,328,1700,-1.05753918968794,1.24646215029491
"5504","OWATONNA","CTR","MN","PKG","L",6447,328,1700,-1.05996619387096,1.24371889688043
"6560","SPRINGFIELD EXT.","CTR","MO","PKG","P",1019999,403,400,-1.14749370713988,1.16151782555624
"5534","ISANTI","CTR","MN","PKG","L",3212,328,1700,-1.04165709674497,1.26059822550034
"6530","SEDALIA","CTR","MO","PKG","L",3209,328,1700,-1.12900949209189,1.17869459630118
"5529","MINNE/STPAUL","ARPT","MN","APT","S",8534,403,300,-1.04959186985991,1.25285308777317
"5040","MASON CITY","CTR","IA","PKG","L",4709,328,1700,-1.07178285923939,1.2319238110745
"6561","BRANSON CENTER","CTR","MO","PKG","L",4084,328,1700,-1.15504523792995,1.15386500815791
"5540","MINNEAPOLIS-DOWNTOWN","CTR","MN","PKG","P",1019999,403,400,-1.04772546564901,1.25427075221225
"7069","LAKE CHARLES HUB","HUB","LA","HUB","L",3288,328,1700,-1.23473743620756,1.07829736409017
"7260","HARRISON","CTR","AR","PKG","L",3124,328,1700,-1.15882803484715,1.14874484073972
"7280","RUSSELVILLE","CTR","AR","PKG","L",4028,328,1700,-1.1709056001211,1.13723021210605
"7190","HOT SPRINGS","CTR","AR","PKG","L",5138,328,1700,-1.1804193226602,1.12811927425564
"5519","SAINT PAUL","HUB","MN","HUB","N",95000,403,2200,-1.0490395304986,1.25120285480886
"7140","NATCHITOCHES","CTR","LA","PKG","L",1994,328,1700,-1.21443394069449,1.09538836784689
"5010","MARSHALTOWN","CTR","IA","PKG","L",4834,328,1700,-1.08310132408995,1.21534488057701
"7171","CAMDEN","CTR","AR","PKG","L",2076,328,1700,-1.18922720060425,1.11403054941246
"7191","MALVERN","CTR","AR","PKG","L",1542,328,1700,-1.17926383911428,1.1233916148387
"6500","CAMDENTON","CTR","MO","PKG","L",4918,328,1700,-1.13285888824253,1.16562901191716
"5255","OSKALOOSA","CTR","IA","PKG","L",3709,328,1700,-1.09010361532037,1.2042564010564
"7123","RUSTON","CTR","LA","PKG","L",3699,328,1700,-1.20049390289311,1.0995012512827
"5501","RED WING","CTR","MN","PKG","L",4882,328,1700,-1.04782326877856,1.2429269132051
"5570","VIRGINIA","CTR","MN","PKG","L",5951,328,1700,-1.00913762865928,1.27949041736724
"6350","KIRKSVILLE","CTR","MO","PKG","L",3459,328,1700,-1.10449051624766,1.18885107747629
"5590","ROCHESTER-ROCHESTER","CTR","MN","PKG","L",1894,328,1700,-1.05393547966782,1.2359945863928
"7170","EL DORADO","CTR","AR","PKG","L",2138,328,1700,-1.19151888201445,1.10515306543523
"7130","ALEXANDRIA","CTR","LA","PKG","L",3124,328,1700,-1.21444886936634,1.08258462588575
"5250","OTTUMWA","CTR","IA","PKG","L",4167,328,1700,-1.09175638107055,1.1986789810773
"7200","CONWAY","CTR","AR","PKG","L",3083,328,1700,-1.16631670810067,1.12752916116164
"7263","MOUNTAIN HOME","CTR","AR","PKG","L",2528,328,1700,-1.15049311775589,1.14214427902749
"5471","BALDWIN","CTR","WI","PKG","L",3944,328,1700,-1.04076900380374,1.24624877396018
"5070","WATERLOO","CTR","IA","PKG","L",3626,328,1700,-1.07207108401443,1.21573289412265
"6529","COLUMBIA","HUB","MO","HUB","P",10640,403,400,-1.1165402851977,1.17278270578641
"7209","LITTLE ROCK","ARPT","AR","APT","M",750000,400,600,-1.16914196913248,1.12119732308819
"6510","JEFFERSON CITY","CTR","MO","PKG","L",4042,328,1700,-1.1206013196507,1.16718361248157
"7120","MONROE","CTR","LA","PKG","L",4316,328,1700,-1.19535079304592,1.09340835410192
"7051","OPELOUSAS","CTR","LA","PKG","L",3864,328,1700,-1.22082522712648,1.06873383381627
"7160","PINE BLUFF","CTR","AR","PKG","L",5015,328,1700,-1.17329493021814,1.11325807767703
"7059","LAFAYETTE AIRPORT","ARPT","LA","APT","S",910000,403,300,-1.22291251220944,1.06518743348109
"7229","LITTLE ROCK","HUB","AR","HUB","N",76000,403,2200,-1.17293302920264,1.11292999291499
"7050","LAFAYETTE","CTR","LA","PKG","L",4234,328,1700,-1.2232846421951,1.06458203348264
"6570","WILLOW SPRINGS","CTR","MO","PKG","L",3501,328,1700,-1.1383071645982,1.14570616064859
"5210","DECORAH","CTR","IA","PKG","L",3959,328,1700,-1.05714872217676,1.22035804952557
"7052","NEW IBERIA","CTR","LA","PKG","L",4110,328,1700,-1.22342065239715,1.06012425711495
"5486","RICE LAKE","CTR","WI","PKG","L",3183,328,1700,-1.02861722093528,1.24680688708614
"6540","ROLLA","CTR","MO","PKG","L",4709,328,1700,-1.12357953322696,1.15520612879724
"7210","SEARCY","CTR","AR","PKG","L",3247,328,1700,-1.15768910271836,1.12221974634059
"5249","CEDAR RAPIDS","ARPT","IA","APT","A",1049999,150,900,-1.07409449602322,1.20219545205869
"5240","HIAWATHA","CTR","IA","PKG","L",3501,328,1700,-1.07200235872568,1.20400347555198
"7250","BATESVILLE","CTR","AR","PKG","L",4563,328,1700,-1.15083107551477,1.12728334843598
"5592","WINONA","CTR","MN","PKG","L",6692,328,1700,-1.0460394816285,1.22777790480228
"5220","CORALVILLE","CTR","IA","PKG","L",5001,328,1700,-1.07562390364769,1.19879894383358
"6340","PALMYRA","CTR","MO","PKG","L",2862,328,1700,-1.0988660345295,1.17517143990465
"7122","DELHI","CTR","LA","PKG","L",1665,328,1700,-1.18994382503995,1.08681512795112
"5470","EAU CLAIRE","CTR","WI","PKG","L",2273,328,1700,-1.03505745215592,1.23583842621722
"7161","DERMOTT","CTR","AR","PKG","L",3741,328,1700,-1.17596371105084,1.09872569566631
"3910","NATCHEZ (7131)","CTR","MS","PKG","L",5935,328,1700,-1.20056982250047,1.07449033986047
"6230","QUINCY","CTR","IL","PKG","L",4500,328,1700,-1.09492511429586,1.17631435343363
"6330","BOWLING GREEN","CTR","MO","PKG","L",2438,328,1700,-1.10185841595662,1.16687103214728
"5460","LA CROSSE","CTR","WI","PKG","L",4501,328,1700,-1.04498334362276,1.22202929199211
"7089","PORT ALLEN HUB","HUB","LA","HUB","L",3151,328,1700,-1.21194760426421,1.05963396890046
"5260","BURLINGTON","CTR","IA","PKG","L",3292,328,1700,-1.08292807745205,1.18448175646844
"7080","BAKER","CTR","LA","PKG","L",3165,328,1700,-1.21035771038407,1.06012123824741
